,Link,Title,Description,Years,Hours,Rated
0,,,,,,
1,https://www.imdb.com//title/tt0111161/?ref_=sr_t_1,1. The Shawshank Redemption,"A banker convicted of uxoricide forms a friendship over a quarter century with a hardened convict, while maintaining his innocence and trying to remain hopeful through simple compassion.",1994,2h 22m,R
2,https://www.imdb.com//title/tt0068646/?ref_=sr_t_2,2. The Godfather,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,1972,2h 55m,R
3,https://www.imdb.com//title/tt0468569/?ref_=sr_t_3,3. The Dark Knight,"When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness.",2008,2h 32m,PG-13
4,https://www.imdb.com//title/tt0167260/?ref_=sr_t_4,4. The Lord of the Rings: The Return of the King,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,2003,3h 21m,PG-13
5,https://www.imdb.com//title/tt0108052/?ref_=sr_t_5,5. Schindler's List,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",1993,3h 15m,R
6,https://www.imdb.com//title/tt0050083/?ref_=sr_t_6,6. 12 Angry Men,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,1957,1h 36m,Approved
7,https://www.imdb.com//title/tt0071562/?ref_=sr_t_7,7. The Godfather Part II,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",1974,3h 22m,R
8,https://www.imdb.com//title/tt0120737/?ref_=sr_t_8,8. The Lord of the Rings: The Fellowship of the Ring,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,2001,2h 58m,PG-13
9,https://www.imdb.com//title/tt0110912/?ref_=sr_t_9,9. Pulp Fiction,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",1994,2h 34m,R
10,https://www.imdb.com//title/tt23849204/?ref_=sr_t_10,10. 12th Fail,The real-life story of IPS Officer Manoj Kumar Sharma and IRS Officer Shraddha Joshi.,2023,2h 27m,
11,https://www.imdb.com//title/tt0137523/?ref_=sr_t_11,11. Fight Club,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,1999,2h 19m,R
